Filename,Filepath,Leaf
1001.jpg,data/processed/dataset/1001.jpg,pubescent bamboo
1002.jpg,data/processed/dataset/1002.jpg,pubescent bamboo
1003.jpg,data/processed/dataset/1003.jpg,pubescent bamboo
1004.jpg,data/processed/dataset/1004.jpg,pubescent bamboo
1005.jpg,data/processed/dataset/1005.jpg,pubescent bamboo
1006.jpg,data/processed/dataset/1006.jpg,pubescent bamboo
1007.jpg,data/processed/dataset/1007.jpg,pubescent bamboo
1008.jpg,data/processed/dataset/1008.jpg,pubescent bamboo
1009.jpg,data/processed/dataset/1009.jpg,pubescent bamboo
1010.jpg,data/processed/dataset/1010.jpg,pubescent bamboo
1011.jpg,data/processed/dataset/1011.jpg,pubescent bamboo
1012.jpg,data/processed/dataset/1012.jpg,pubescent bamboo
1013.jpg,data/processed/dataset/1013.jpg,pubescent bamboo
1014.jpg,data/processed/dataset/1014.jpg,pubescent bamboo
1015.jpg,data/processed/dataset/1015.jpg,pubescent bamboo
1016.jpg,data/processed/dataset/1016.jpg,pubescent bamboo
1017.jpg,data/processed/dataset/1017.jpg,pubescent bamboo
1018.jpg,data/processed/dataset/1018.jpg,pubescent bamboo
1019.jpg,data/processed/dataset/1019.jpg,pubescent bamboo
1020.jpg,data/processed/dataset/1020.jpg,pubescent bamboo
1021.jpg,data/processed/dataset/1021.jpg,pubescent bamboo
1022.jpg,data/processed/dataset/1022.jpg,pubescent bamboo
1023.jpg,data/processed/dataset/1023.jpg,pubescent bamboo
1024.jpg,data/processed/dataset/1024.jpg,pubescent bamboo
1025.jpg,data/processed/dataset/1025.jpg,pubescent bamboo
1026.jpg,data/processed/dataset/1026.jpg,pubescent bamboo
1027.jpg,data/processed/dataset/1027.jpg,pubescent bamboo
1028.jpg,data/processed/dataset/1028.jpg,pubescent bamboo
1029.jpg,data/processed/dataset/1029.jpg,pubescent bamboo
1030.jpg,data/processed/dataset/1030.jpg,pubescent bamboo
1031.jpg,data/processed/dataset/1031.jpg,pubescent bamboo
1032.jpg,data/processed/dataset/1032.jpg,pubescent bamboo
1033.jpg,data/processed/dataset/1033.jpg,pubescent bamboo
1034.jpg,data/processed/dataset/1034.jpg,pubescent bamboo
1035.jpg,data/processed/dataset/1035.jpg,pubescent bamboo
1036.jpg,data/processed/dataset/1036.jpg,pubescent bamboo
1037.jpg,data/processed/dataset/1037.jpg,pubescent bamboo
1038.jpg,data/processed/dataset/1038.jpg,pubescent bamboo
